[TensorBoard] Logging enabled: parallel_experiments/Swimmer-v2_20250725_044206/seed_10/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Swimmer-v2_20250725_044206/seed_10/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
    'alpha': 0.7,
#Games: 1617 #Frames: 1617000  Train_Max: 356.20  Test_Score: 347.51  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 102.80  PG Loss: -33.6132

#Games: 1628 #Frames: 1628000  Train_Max: 355.19  Test_Score: 353.03  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 64.03  PG Loss: -33.5768

#Games: 1639 #Frames: 1639000  Train_Max: 357.54  Test_Score: 355.41  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 93.41  PG Loss: -33.6145

Sync from RL --> Nevo
#Games: 1650 #Frames: 1650000  Train_Max: 352.30  Test_Score: 357.27  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 50.57  PG Loss: -33.6262

#Games: 1661 #Frames: 1661000  Train_Max: 357.91  Test_Score: 352.75  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 65.97  PG Loss: -33.6444

#Games: 1672 #Frames: 1672000  Train_Max: 355.35  Test_Score: 330.00  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 71.44  PG Loss: -33.6691

#Games: 1683 #Frames: 1683000  Train_Max: 348.72  Test_Score: 329.23  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 100.48  PG Loss: -33.5818

#Games: 1694 #Frames: 1694000  Train_Max: 353.84  Test_Score: 355.28  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 45.03  PG Loss: -33.5801

#Games: 1705 #Frames: 1705000  Train_Max: 356.92  Test_Score: 358.49  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 54.72  PG Loss: -33.5809

#Games: 1716 #Frames: 1716000  Train_Max: 359.97  Test_Score: 360.46  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 70.01  PG Loss: -33.5760

#Games: 1727 #Frames: 1727000  Train_Max: 362.07  Test_Score: 359.41  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 71.12  PG Loss: -33.5351

#Games: 1738 #Frames: 1738000  Train_Max: 363.00  Test_Score: 357.46  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 55.07  PG Loss: -33.4068

#Games: 1749 #Frames: 1749000  Train_Max: 358.82  Test_Score: 357.79  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 119.00  PG Loss: -33.3357

Sync from RL --> Nevo
#Games: 1760 #Frames: 1760000  Train_Max: 361.62  Test_Score: 358.89  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 68.38  PG Loss: -33.2271

#Games: 1771 #Frames: 1771000  Train_Max: 358.77  Test_Score: 359.00  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 73.73  PG Loss: -33.0830

#Games: 1782 #Frames: 1782000  Train_Max: 356.96  Test_Score: 359.71  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 91.10  PG Loss: -33.0155

#Games: 1793 #Frames: 1793000  Train_Max: 362.98  Test_Score: 360.35  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 77.43  PG Loss: -32.9605

#Games: 1804 #Frames: 1804000  Train_Max: 356.84  Test_Score: 351.77  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 77.48  PG Loss: -32.9120

Progress Saved
#Games: 1815 #Frames: 1815000  Train_Max: 359.51  Test_Score: 356.96  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 137.21  PG Loss: -32.8736

#Games: 1826 #Frames: 1826000  Train_Max: 360.75  Test_Score: 344.82  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 98.13  PG Loss: -32.8126

#Games: 1837 #Frames: 1837000  Train_Max: 360.62  Test_Score: 359.48  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 94.82  PG Loss: -32.7431

#Games: 1848 #Frames: 1848000  Train_Max: 357.15  Test_Score: 359.12  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 69.69  PG Loss: -32.7283

#Games: 1859 #Frames: 1859000  Train_Max: 364.86  Test_Score: 357.84  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 78.83  PG Loss: -32.6366

Sync from RL --> Nevo
#Games: 1870 #Frames: 1870000  Train_Max: 363.95  Test_Score: 358.24  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 85.64  PG Loss: -32.5945

#Games: 1881 #Frames: 1881000  Train_Max: 357.65  Test_Score: 356.23  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 85.81  PG Loss: -32.5246

#Games: 1892 #Frames: 1892000  Train_Max: 361.02  Test_Score: 360.68  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 62.44  PG Loss: -32.5065

#Games: 1903 #Frames: 1903000  Train_Max: 360.79  Test_Score: 359.46  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 66.55  PG Loss: -32.4563

#Games: 1914 #Frames: 1914000  Train_Max: 358.06  Test_Score: 357.75  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 60.92  PG Loss: -32.4578

#Games: 1925 #Frames: 1925000  Train_Max: 363.13  Test_Score: 359.08  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 52.22  PG Loss: -32.4248

#Games: 1936 #Frames: 1936000  Train_Max: 357.57  Test_Score: 360.94  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 84.59  PG Loss: -32.3661

#Games: 1947 #Frames: 1947000  Train_Max: 356.45  Test_Score: 357.80  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 99.03  PG Loss: -32.3041

#Games: 1958 #Frames: 1958000  Train_Max: 362.10  Test_Score: 359.30  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 148.26  PG Loss: -32.2384

#Games: 1969 #Frames: 1969000  Train_Max: 362.65  Test_Score: 353.77  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 132.85  PG Loss: -32.2199

Sync from RL --> Nevo
#Games: 1980 #Frames: 1980000  Train_Max: 362.61  Test_Score: 358.27  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 172.89  PG Loss: -32.2265

#Games: 1991 #Frames: 1991000  Train_Max: 359.10  Test_Score: 355.86  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 112.25  PG Loss: -32.1985

#Games: 2002 #Frames: 2002000  Train_Max: 354.76  Test_Score: 360.53  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 143.98  PG Loss: -32.2103

Progress Saved
[TensorBoard] Logs saved: parallel_experiments/Swimmer-v2_20250725_044206/seed_10/tensorboard_logs
[TensorBoard] TensorBoard logs saved and closed
[SUCCESS] Training completed!
[TensorBoard] Logs saved: parallel_experiments/Swimmer-v2_20250725_044206/seed_10/tensorboard_logs
