[TensorBoard] Logging enabled: parallel_experiments/Swimmer-v2_20250725_044206/seed_100/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Swimmer-v2_20250725_044206/seed_100/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
    'alpha': 0.7,
#Games: 1617 #Frames: 1617000  Train_Max: 361.23  Test_Score: 361.20  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 136.67  PG Loss: -33.2881

#Games: 1628 #Frames: 1628000  Train_Max: 360.88  Test_Score: 360.23  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 112.82  PG Loss: -33.2918

#Games: 1639 #Frames: 1639000  Train_Max: 358.64  Test_Score: 360.49  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 89.43  PG Loss: -33.3155

Sync from RL --> Nevo
#Games: 1650 #Frames: 1650000  Train_Max: 361.89  Test_Score: 359.87  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 109.63  PG Loss: -33.3591

#Games: 1661 #Frames: 1661000  Train_Max: 360.36  Test_Score: 357.93  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 121.18  PG Loss: -33.3678

#Games: 1672 #Frames: 1672000  Train_Max: 361.59  Test_Score: 360.08  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 78.78  PG Loss: -33.3985

#Games: 1683 #Frames: 1683000  Train_Max: 363.94  Test_Score: 359.64  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 58.09  PG Loss: -33.5179

#Games: 1694 #Frames: 1694000  Train_Max: 363.09  Test_Score: 361.69  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 72.87  PG Loss: -33.6483

#Games: 1705 #Frames: 1705000  Train_Max: 358.58  Test_Score: 361.31  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 61.55  PG Loss: -33.6550

#Games: 1716 #Frames: 1716000  Train_Max: 358.55  Test_Score: 361.00  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 72.67  PG Loss: -33.6292

#Games: 1727 #Frames: 1727000  Train_Max: 359.98  Test_Score: 362.43  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 66.73  PG Loss: -33.5879

#Games: 1738 #Frames: 1738000  Train_Max: 363.30  Test_Score: 358.32  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 57.65  PG Loss: -33.5686

#Games: 1749 #Frames: 1749000  Train_Max: 359.78  Test_Score: 360.05  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 40.83  PG Loss: -33.6485

Sync from RL --> Nevo
#Games: 1760 #Frames: 1760000  Train_Max: 359.98  Test_Score: 358.19  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 55.94  PG Loss: -33.7397

#Games: 1771 #Frames: 1771000  Train_Max: 358.57  Test_Score: 358.33  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 61.22  PG Loss: -33.7636

#Games: 1782 #Frames: 1782000  Train_Max: 362.94  Test_Score: 358.41  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 44.70  PG Loss: -33.8079

#Games: 1793 #Frames: 1793000  Train_Max: 363.13  Test_Score: 359.61  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 69.31  PG Loss: -33.8628

#Games: 1804 #Frames: 1804000  Train_Max: 359.34  Test_Score: 358.68  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 71.17  PG Loss: -33.8423

Progress Saved
#Games: 1815 #Frames: 1815000  Train_Max: 359.82  Test_Score: 359.47  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 66.58  PG Loss: -33.8052

#Games: 1826 #Frames: 1826000  Train_Max: 362.87  Test_Score: 358.52  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 78.37  PG Loss: -33.7804

#Games: 1837 #Frames: 1837000  Train_Max: 362.24  Test_Score: 358.12  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 65.45  PG Loss: -33.7858

#Games: 1848 #Frames: 1848000  Train_Max: 359.95  Test_Score: 359.43  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 99.65  PG Loss: -33.7855

#Games: 1859 #Frames: 1859000  Train_Max: 361.94  Test_Score: 356.77  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 113.88  PG Loss: -33.7240

Sync from RL --> Nevo
#Games: 1870 #Frames: 1870000  Train_Max: 365.34  Test_Score: 356.51  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 119.47  PG Loss: -33.7044

#Games: 1881 #Frames: 1881000  Train_Max: 359.67  Test_Score: 359.37  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 94.21  PG Loss: -33.6658

#Games: 1892 #Frames: 1892000  Train_Max: 357.36  Test_Score: 360.64  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 108.58  PG Loss: -33.6214

#Games: 1903 #Frames: 1903000  Train_Max: 363.37  Test_Score: 359.67  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 75.59  PG Loss: -33.5042

#Games: 1914 #Frames: 1914000  Train_Max: 361.53  Test_Score: 356.87  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 161.88  PG Loss: -33.4484

#Games: 1925 #Frames: 1925000  Train_Max: 362.61  Test_Score: 359.35  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 143.43  PG Loss: -33.4201

#Games: 1936 #Frames: 1936000  Train_Max: 359.74  Test_Score: 361.19  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 146.81  PG Loss: -33.3718

#Games: 1947 #Frames: 1947000  Train_Max: 363.83  Test_Score: 360.15  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 154.93  PG Loss: -33.2909

#Games: 1958 #Frames: 1958000  Train_Max: 365.58  Test_Score: 359.02  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 124.20  PG Loss: -33.2238

#Games: 1969 #Frames: 1969000  Train_Max: 360.30  Test_Score: 360.38  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 107.12  PG Loss: -33.1415

Sync from RL --> Nevo
#Games: 1980 #Frames: 1980000  Train_Max: 360.79  Test_Score: 360.79  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 121.51  PG Loss: -33.0687

#Games: 1991 #Frames: 1991000  Train_Max: 360.59  Test_Score: 359.87  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 105.76  PG Loss: -32.9978

#Games: 2002 #Frames: 2002000  Train_Max: 355.74  Test_Score: 361.47  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 149.14  PG Loss: -32.9568

Progress Saved
[TensorBoard] Logs saved: parallel_experiments/Swimmer-v2_20250725_044206/seed_100/tensorboard_logs
[TensorBoard] TensorBoard logs saved and closed
[SUCCESS] Training completed!
[TensorBoard] Logs saved: parallel_experiments/Swimmer-v2_20250725_044206/seed_100/tensorboard_logs
